Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010,,,,,,,,,,
2016-2020,5000,Totalblan,,6.70%,10.80%,13.30%,16.70%,23.80%,,,,,,,,,,
2016-2020,5001,"Arkansas, AR        ",6,5.40%,8.10%,10.30%,12.20%,16.40%,,,,,,,,,,
2016-2020,5003,"Ashley, AR        ",7,6.00%,7.70%,9.30%,10.10%,12.20%,,,,,,,,,,
2016-2020,5005,"Baxter, AR        ",7,5.70%,9.00%,10.40%,12.80%,17.80%,,,,,,,,,,
2016-2020,5007,"Benton, AR        ",2,6.20%,11.80%,14.40%,20.30%,34.60%,,,,,,,,,,
2016-2020,5009,"Boone, AR        ",7,7.20%,9.80%,10.70%,12.70%,17.80%,,,,,,,,,,
2016-2020,5011,"Bradley, AR        ",7,4.30%,8.00%,9.80%,11.90%,13.80%,,,,,,,,,,
2016-2020,5013,"Calhoun, AR        ",9,3.50%,4.10%,7.40%,7.30%,10.70%,,,,,,,,,,
2016-2020,5015,"Carroll, AR        ",6,5.10%,9.80%,11.60%,13.80%,21.20%,,,,,,,,,,
2016-2020,5017,"Chicot, AR        ",7,4.60%,6.80%,8.30%,11.70%,14.60%,,,,,,,,,,
2016-2020,5019,"Clark, AR        ",7,11.40%,15.80%,17.90%,19.80%,25.20%,,,,,,,,,,
2016-2020,5021,"Clay, AR        ",7,2.90%,4.70%,5.20%,7.40%,13.60%,,,,,,,,,,
2016-2020,5023,"Cleburne, AR        ",6,3.40%,7.20%,9.40%,13.90%,16.70%,,,,,,,,,,
2016-2020,5025,"Cleveland, AR        ",3,2.20%,6.00%,7.80%,10.00%,15.90%,,,,,,,,,,
2016-2020,5027,"Columbia, AR        ",7,6.00%,9.80%,13.10%,16.80%,20.50%,,,,,,,,,,
2016-2020,5029,"Conway, AR        ",6,4.60%,7.60%,9.80%,11.50%,17.70%,,,,,,,,,,
2016-2020,5031,"Craighead, AR        ",3,8.80%,13.30%,16.40%,20.90%,27.10%,,,,,,,,,,
2016-2020,5033,"Crawford, AR        ",2,3.60%,5.10%,7.60%,9.70%,18.20%,,,,,,,,,,
2016-2020,5035,"Crittenden, AR        ",1,4.50%,7.30%,9.80%,12.80%,17.40%,,,,,,,,,,
2016-2020,5037,"Cross, AR        ",6,3.80%,7.40%,8.00%,9.90%,14.70%,,,,,,,,,,
2016-2020,5039,"Dallas, AR        ",6,4.60%,8.80%,8.80%,9.60%,11.00%,,,,,,,,,,
2016-2020,5041,"Desha, AR        ",6,5.40%,8.80%,10.40%,11.10%,14.00%,,,,,,,,,,
2016-2020,5043,"Drew, AR        ",6,8.70%,12.80%,13.90%,17.30%,22.60%,,,,,,,,,,
2016-2020,5045,"Faulkner, AR        ",2,10.50%,14.50%,17.90%,25.20%,32.10%,,,,,,,,,,
2016-2020,5047,"Franklin, AR        ",6,4.20%,6.10%,8.80%,11.00%,11.30%,,,,,,,,,,
2016-2020,5049,"Fulton, AR        ",9,3.60%,5.30%,5.40%,10.50%,13.20%,,,,,,,,,,
2016-2020,5051,"Garland, AR        ",3,6.70%,11.30%,14.20%,18.00%,22.80%,,,,,,,,,,
2016-2020,5053,"Grant, AR        ",2,3.70%,7.30%,9.30%,11.00%,20.30%,,,,,,,,,,
2016-2020,5055,"Greene, AR        ",4,4.40%,7.30%,9.10%,10.90%,17.30%,,,,,,,,,,
2016-2020,5057,"Hempstead, AR        ",6,4.60%,8.80%,9.30%,11.00%,16.00%,,,,,,,,,,
2016-2020,5059,"Hot Spring, AR        ",6,4.30%,8.20%,9.00%,11.20%,15.30%,,,,,,,,,,
2016-2020,5061,"Howard, AR        ",6,4.70%,7.10%,8.30%,11.60%,13.80%,,,,,,,,,,
2016-2020,5063,"Independence, AR        ",7,4.60%,8.20%,10.30%,13.70%,18.50%,,,,,,,,,,
2016-2020,5065,"Izard, AR        ",9,3.30%,8.60%,9.40%,11.70%,14.50%,,,,,,,,,,
2016-2020,5067,"Jackson, AR        ",6,4.30%,8.00%,6.70%,10.30%,11.70%,,,,,,,,,,
2016-2020,5069,"Jefferson, AR        ",3,7.60%,11.90%,14.60%,15.70%,18.00%,,,,,,,,,,
2016-2020,5071,"Johnson, AR        ",7,5.30%,8.70%,12.00%,13.10%,16.50%,,,,,,,,,,
2016-2020,5073,"Lafayette, AR        ",8,3.70%,5.70%,6.90%,9.50%,14.00%,,,,,,,,,,
2016-2020,5075,"Lawrence, AR        ",6,4.30%,5.50%,6.10%,8.50%,14.40%,,,,,,,,,,
2016-2020,5077,"Lee, AR        ",7,4.60%,7.10%,7.40%,7.30%,8.70%,,,,,,,,,,
2016-2020,5079,"Lincoln, AR        ",3,2.40%,5.70%,5.60%,7.60%,8.50%,,,,,,,,,,
2016-2020,5081,"Little River, AR        ",3,5.10%,7.70%,8.10%,9.90%,14.30%,,,,,,,,,,
2016-2020,5083,"Logan, AR        ",6,3.40%,6.30%,6.80%,9.40%,12.20%,,,,,,,,,,
2016-2020,5085,"Lonoke, AR        ",2,4.20%,8.00%,10.00%,14.60%,20.60%,,,,,,,,,,
2016-2020,5087,"Madison, AR        ",2,4.00%,6.20%,8.20%,10.10%,12.10%,,,,,,,,,,
2016-2020,5089,"Marion, AR        ",9,2.70%,7.20%,8.00%,10.40%,16.10%,,,,,,,,,,
2016-2020,5091,"Miller, AR        ",3,5.30%,7.80%,9.50%,12.50%,18.00%,,,,,,,,,,
2016-2020,5093,"Mississippi, AR        ",4,5.50%,8.60%,10.50%,11.30%,15.60%,,,,,,,,,,
2016-2020,5095,"Monroe, AR        ",7,3.80%,6.10%,8.40%,8.40%,12.60%,,,,,,,,,,
2016-2020,5097,"Montgomery, AR        ",8,4.10%,7.80%,7.00%,8.80%,15.10%,,,,,,,,,,
2016-2020,5099,"Nevada, AR        ",7,4.10%,6.70%,9.80%,10.70%,11.90%,,,,,,,,,,
2016-2020,5101,"Newton, AR        ",9,2.40%,6.90%,6.80%,11.80%,15.90%,,,,,,,,,,
2016-2020,5103,"Ouachita, AR        ",7,5.30%,9.10%,12.20%,12.70%,13.50%,,,,,,,,,,
2016-2020,5105,"Perry, AR        ",2,3.40%,5.60%,6.20%,11.10%,17.80%,,,,,,,,,,
2016-2020,5107,"Phillips, AR        ",6,5.50%,8.30%,9.20%,12.40%,15.50%,,,,,,,,,,
2016-2020,5109,"Pike, AR        ",9,3.50%,7.20%,8.50%,10.10%,18.30%,,,,,,,,,,
2016-2020,5111,"Poinsett, AR        ",3,3.60%,6.20%,5.60%,6.30%,11.50%,,,,,,,,,,
2016-2020,5113,"Polk, AR        ",7,5.10%,8.10%,9.90%,10.90%,15.30%,,,,,,,,,,
2016-2020,5115,"Pope, AR        ",5,7.50%,11.80%,14.70%,19.00%,24.60%,,,,,,,,,,
2016-2020,5117,"Prairie, AR        ",8,3.40%,6.50%,7.20%,9.00%,15.30%,,,,,,,,,,
2016-2020,5119,"Pulaski, AR        ",2,11.40%,18.80%,23.50%,28.10%,35.20%,,,,,,,,,,
2016-2020,5121,"Randolph, AR        ",7,2.60%,6.30%,7.90%,10.60%,13.80%,,,,,,,,,,
2016-2020,5123,"St. Francis, AR        ",6,6.20%,8.00%,8.50%,9.60%,10.90%,,,,,,,,,,
2016-2020,5125,"Saline, AR        ",2,5.40%,8.20%,11.90%,16.40%,27.60%,,,,,,,,,,
2016-2020,5127,"Scott, AR        ",6,2.70%,3.70%,5.90%,8.40%,12.10%,,,,,,,,,,
2016-2020,5129,"Searcy, AR        ",9,3.00%,7.10%,7.50%,8.40%,10.90%,,,,,,,,,,
2016-2020,5131,"Sebastian, AR        ",2,7.20%,11.90%,14.60%,16.60%,23.30%,,,,,,,,,,
2016-2020,5133,"Sevier, AR        ",6,6.30%,8.50%,7.20%,9.20%,13.40%,,,,,,,,,,
2016-2020,5135,"Sharp, AR        ",7,5.30%,8.20%,8.70%,10.30%,10.50%,,,,,,,,,,
2016-2020,5137,"Stone, AR        ",9,2.20%,7.00%,9.40%,9.80%,12.60%,,,,,,,,,,
2016-2020,5139,"Union, AR        ",7,7.60%,10.70%,12.70%,14.90%,21.20%,,,,,,,,,,
2016-2020,5141,"Van Buren, AR        ",8,3.60%,6.80%,10.50%,11.50%,15.80%,,,,,,,,,,
2016-2020,5143,"Washington, AR        ",2,12.80%,18.00%,20.00%,24.50%,33.20%,,,,,,,,,,
2016-2020,5145,"White, AR        ",4,5.40%,8.80%,10.90%,15.50%,20.70%,,,,,,,,,,
2016-2020,5147,"Woodruff, AR        ",9,4.90%,7.00%,7.50%,8.00%,15.10%,,,,,,,,,,
2016-2020,5149,"Yell, AR        ",6,2.70%,5.00%,7.40%,10.90%,13.30%,,,,,,,,,,
